date,iso_code,indicator,indicator_code,value
1965-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1966-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1967-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1968-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1969-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1970-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1971-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1972-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1973-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1974-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1975-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1976-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1977-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1978-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1979-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1980-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1981-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1982-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1983-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1984-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1985-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1986-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1987-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1988-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1989-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1990-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1991-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1992-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1993-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1994-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1995-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1996-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1997-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1998-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1999-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2000-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2001-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2002-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2003-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2004-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2005-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2006-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2007-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2008-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2009-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2010-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2011-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2012-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2013-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2014-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2015-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2016-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2017-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2018-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2019-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2020-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
2021-01-01,AFE,SI.POV.DDAY,SI.POV.DDAY,
1960-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1961-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1962-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1963-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1964-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1965-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1966-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1967-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1968-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1969-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1970-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1971-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1972-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1973-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1974-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1975-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1976-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1977-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1978-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1979-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1980-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1981-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1982-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1983-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1984-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1985-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1986-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1987-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1988-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1989-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1990-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1991-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1992-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1993-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1994-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1995-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1996-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1997-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1998-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1999-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2000-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2001-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2002-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2003-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2004-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2005-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2006-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2007-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2008-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2009-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2010-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2011-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2012-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2013-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2014-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2015-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2016-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2017-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2018-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2019-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2020-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
2021-01-01,AFG,SI.POV.DDAY,SI.POV.DDAY,
1960-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1961-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1962-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1963-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1964-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1965-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1966-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1967-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1968-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1969-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1970-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1971-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1972-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1973-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1974-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1975-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1976-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1977-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1978-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1979-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1980-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1981-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1982-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1983-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1984-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1985-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1986-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1987-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1988-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1989-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1990-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1991-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1992-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1993-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1994-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1995-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1996-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1997-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1998-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1999-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2000-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2001-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2002-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2003-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2004-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2005-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2006-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2007-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2008-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2009-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2010-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2011-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2012-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2013-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2014-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2015-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2016-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2017-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2018-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2019-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2020-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
2021-01-01,AFW,SI.POV.DDAY,SI.POV.DDAY,
1960-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1961-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1962-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1963-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1964-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1965-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1966-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1967-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1968-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1969-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1970-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1971-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1972-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1973-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1974-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1975-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1976-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1977-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1978-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1979-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1980-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1981-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1982-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1983-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1984-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1985-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1986-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1987-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1988-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1989-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1990-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1991-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1992-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1993-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1994-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1995-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1996-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1997-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1998-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1999-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2000-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,36.4
2001-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2002-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2003-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2004-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2005-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2006-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2007-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2008-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,34.4
2009-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2010-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2011-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2012-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2013-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2014-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2015-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2016-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2017-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2018-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,49.9
2019-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2020-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
2021-01-01,AGO,SI.POV.DDAY,SI.POV.DDAY,
1960-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1961-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1962-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1963-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1964-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1965-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1966-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1967-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1968-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1969-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1970-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1971-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1972-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1973-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1974-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1975-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1976-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1977-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1978-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1979-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1980-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1981-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1982-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1983-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1984-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1985-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1986-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1987-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1988-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1989-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1990-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1991-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1992-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1993-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1994-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1995-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1996-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,0.9
1997-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1998-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1999-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
2000-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
2001-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
2002-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,1.6
2003-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
2004-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
2005-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,0.9
2006-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
2007-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
2008-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,0.3
2009-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
2010-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
2011-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
2012-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,0.8
2013-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
2014-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,1.6
2015-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,0.2
2016-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,0.4
2017-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,0.4
2018-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,0.1
2019-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,0.0
2020-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
2021-01-01,ALB,SI.POV.DDAY,SI.POV.DDAY,
1960-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1961-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1962-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1963-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1964-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1965-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1966-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1967-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1968-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1969-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1970-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1971-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1972-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1973-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1974-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1975-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1976-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1977-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1978-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1979-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1980-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1981-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1982-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1983-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1984-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1985-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1986-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1987-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1988-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1989-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1990-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1991-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1992-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1993-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1994-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1995-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1996-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
1997-01-01,AND,SI.POV.DDAY,SI.POV.DDAY,
